User_ID,Name,Gender,Age,Region,Score
U00001,Ryu,M,40,Daejeon,71
U00002,Choi,M,53,Daegu,73
U00003,Hong,F,52,Busan,30
U00004,Ryu,M,37,Daegu,36
U00005,Park,M,22,Incheon,77
U00006,Hong,F,43,Incheon,45
U00007,Hong,M,20,Seoul,77
U00008,Ryu,F,25,Daejeon,72
U00009,Lee,M,38,Busan,80
U00010,Park,F,41,Busan,95
U00011,Ryu,M,62,Daegu,60
U00012,Park,F,27,Gwangju,68
U00013,Park,M,24,Gwangju,38
U00014,Hong,M,28,Daegu,70
U00015,Choi,F,40,Gwangju,92
U00016,Park,M,47,Busan,43
U00017,Kang,M,23,Daegu,87
U00018,Hong,F,43,Gwangju,93
U00019,Lee,M,27,Seoul,57
U00020,Choi,F,36,Daejeon,33
U00021,Kang,M,53,Seoul,63
U00022,Kang,M,39,Gwangju,33
U00023,Lee,M,35,Incheon,99
U00024,Choi,F,29,Busan,87
U00025,Hong,F,53,Seoul,33
U00026,Kim,M,62,Seoul,79
U00027,Choi,M,29,Daegu,34
U00028,Lee,M,49,Daegu,74
U00029,Kang,M,49,Daegu,64
U00030,Hong,F,44,Gwangju,56
U00031,Choi,F,62,Incheon,31
U00032,Kim,F,60,Seoul,83
U00033,Kim,F,26,Daejeon,77
U00034,Park,F,39,Daegu,78
U00035,Park,F,36,Incheon,30
U00036,Ryu,F,22,Gwangju,62
U00037,Lee,F,59,Incheon,64
U00038,Choi,F,55,Daegu,83
U00039,Choi,F,45,Busan,85
U00040,Ryu,F,29,Seoul,44
U00041,Kang,F,53,Daegu,98
U00042,Kang,M,33,Daejeon,33
U00043,Ryu,F,27,Seoul,93
U00044,Kang,F,46,Incheon,51
U00045,Park,F,29,Daejeon,53
U00046,Choi,F,34,Seoul,76
U00047,Ryu,F,56,Daejeon,35
U00048,Choi,M,41,Incheon,56
U00049,Kim,M,64,Daegu,39
U00050,Park,F,50,Daejeon,68
U00051,Hong,F,21,Daegu,66
U00052,Park,M,64,Incheon,83
U00053,Ryu,F,50,Incheon,80
U00054,Hong,F,33,Daejeon,89
U00055,Kim,M,29,Daejeon,80
U00056,Ryu,M,49,Incheon,91
U00057,Lee,F,55,Daejeon,78
U00058,Choi,M,59,Daejeon,80
U00059,Kim,F,34,Daejeon,57
U00060,Choi,F,33,Gwangju,65
U00061,Kang,M,50,Daejeon,54
U00062,Lee,F,48,Seoul,65
U00063,Lee,F,46,Incheon,89
U00064,Kim,M,40,Incheon,36
U00065,Lee,M,28,Busan,94
U00066,Hong,F,39,Daegu,65
U00067,Lee,M,54,Busan,59
U00068,Choi,M,34,Daejeon,76
U00069,Choi,M,43,Daejeon,58
U00070,Ryu,F,35,Seoul,34
U00071,Choi,F,55,Seoul,94
U00072,Ryu,F,30,Seoul,98
U00073,Choi,F,27,Seoul,92
U00074,Hong,F,22,Seoul,85
U00075,Ryu,M,38,Seoul,46
U00076,Park,M,60,Seoul,80
U00077,Kang,F,22,Seoul,66
U00078,Kim,M,55,Gwangju,38
U00079,Choi,F,44,Seoul,67
U00080,Lee,M,55,Incheon,82
U00081,Choi,M,30,Seoul,42
U00082,Lee,M,35,Daegu,82
U00083,Kang,M,36,Seoul,78
U00084,Kang,F,61,Gwangju,99
U00085,Kang,F,43,Daejeon,64
U00086,Lee,M,36,Gwangju,45
U00087,Choi,M,39,Gwangju,42
U00088,Kang,F,41,Daejeon,40
U00089,Hong,F,25,Seoul,31
U00090,Ryu,M,26,Seoul,48
U00091,Lee,F,33,Daejeon,74
U00092,Lee,F,30,Daegu,75
U00093,Choi,M,31,Busan,76
U00094,Lee,F,24,Incheon,78
U00095,Lee,F,24,Daejeon,71
U00096,Kang,M,39,Seoul,62
U00097,Choi,M,34,Incheon,70
U00098,Kang,M,45,Seoul,98
U00099,Ryu,F,52,Busan,48
U00100,Ryu,F,49,Busan,68
U00101,Kang,M,43,Daejeon,36
U00102,Ryu,M,42,Incheon,68
U00103,Choi,F,28,Gwangju,63
U00104,Kim,M,22,Incheon,73
U00105,Kang,F,55,Gwangju,98
U00106,Hong,F,26,Busan,97
U00107,Hong,F,41,Seoul,92
U00108,Lee,F,33,Gwangju,100
U00109,Ryu,F,48,Gwangju,77
U00110,Hong,M,35,Daejeon,32
U00111,Lee,M,53,Daegu,63
U00112,Kim,M,29,Busan,38
U00113,Choi,F,26,Gwangju,90
U00114,Choi,F,44,Busan,49
U00115,Choi,F,46,Daejeon,69
U00116,Hong,F,34,Seoul,41
U00117,Kim,M,51,Incheon,57
U00118,Hong,M,47,Busan,77
U00119,Ryu,M,28,Daejeon,36
U00120,Hong,F,26,Daejeon,43
U00121,Kim,F,35,Daejeon,48
U00122,Kim,M,45,Incheon,83
U00123,Ryu,F,54,Busan,89
U00124,Kim,M,36,Gwangju,96
U00125,Kim,M,42,Daejeon,63
U00126,Choi,F,27,Incheon,70
U00127,Ryu,M,21,Seoul,60
U00128,Park,M,50,Daegu,68
U00129,Park,F,51,Busan,81
U00130,Kim,M,48,Incheon,76
U00131,Park,F,22,Daegu,49
U00132,Park,F,27,Daegu,81
U00133,Kim,M,21,Incheon,100
U00134,Park,M,50,Gwangju,91
U00135,Hong,F,56,Gwangju,34
U00136,Lee,F,39,Incheon,86
U00137,Ryu,M,48,Incheon,33
U00138,Lee,M,36,Daejeon,40
U00139,Kim,M,29,Seoul,48
U00140,Choi,F,60,Gwangju,56
U00141,Ryu,M,41,Daejeon,58
U00142,Kim,F,25,Daegu,47
U00143,Choi,M,62,Daegu,66
U00144,Lee,F,53,Daegu,90
U00145,Kim,M,50,Incheon,76
U00146,Ryu,F,31,Busan,49
U00147,Ryu,F,31,Daejeon,99
U00148,Kang,F,35,Busan,78
U00149,Hong,F,44,Seoul,44
U00150,Park,M,41,Seoul,47
U00151,Choi,M,46,Daejeon,67
U00152,Kang,M,43,Daegu,51
U00153,Park,F,31,Gwangju,89
U00154,Park,M,37,Seoul,95
U00155,Kim,M,64,Busan,55
U00156,Park,F,35,Busan,93
U00157,Hong,F,23,Gwangju,87
U00158,Ryu,M,31,Incheon,32
U00159,Kang,M,52,Daegu,59
U00160,Park,M,41,Incheon,48
U00161,Kim,F,37,Daejeon,39
U00162,Hong,M,52,Seoul,75
U00163,Lee,F,46,Gwangju,48
U00164,Ryu,M,61,Gwangju,87
U00165,Ryu,M,38,Gwangju,35
U00166,Kang,F,33,Incheon,80
U00167,Ryu,M,44,Incheon,43
U00168,Park,F,53,Daejeon,87
U00169,Kim,M,43,Busan,37
U00170,Ryu,F,57,Busan,31
U00171,Ryu,F,42,Daejeon,47
U00172,Lee,F,24,Gwangju,86
U00173,Lee,F,63,Busan,64
U00174,Choi,F,55,Daejeon,95
U00175,Hong,M,43,Busan,85
U00176,Park,M,55,Daejeon,72
U00177,Ryu,M,24,Busan,37
U00178,Ryu,F,58,Gwangju,34
U00179,Kim,M,25,Incheon,42
U00180,Choi,F,64,Incheon,36
U00181,Hong,M,55,Gwangju,50
U00182,Choi,F,64,Busan,66
U00183,Kang,M,23,Gwangju,74
U00184,Hong,M,29,Daejeon,81
U00185,Ryu,M,20,Incheon,77
U00186,Ryu,F,40,Seoul,91
U00187,Hong,F,59,Busan,80
U00188,Ryu,F,58,Seoul,33
U00189,Park,M,56,Seoul,85
U00190,Hong,M,22,Daegu,63
U00191,Choi,F,50,Seoul,74
U00192,Hong,M,46,Seoul,45
U00193,Ryu,M,36,Gwangju,38
U00194,Park,M,42,Daegu,45
U00195,Park,F,32,Daegu,60
U00196,Kang,F,46,Daegu,42
U00197,Choi,F,39,Daejeon,34
U00198,Lee,M,32,Daegu,76
U00199,Lee,M,63,Gwangju,68
U00200,Hong,M,43,Daejeon,47
U00201,Kang,M,60,Busan,49
U00202,Kim,M,22,Daejeon,31
U00203,Hong,M,62,Busan,69
U00204,Kang,M,29,Daegu,59
U00205,Choi,F,20,Daegu,39
U00206,Choi,M,32,Busan,93
U00207,Choi,M,33,Incheon,71
U00208,Choi,F,52,Gwangju,82
U00209,Choi,F,21,Daejeon,82
U00210,Kang,F,21,Gwangju,69
U00211,Kang,M,58,Gwangju,45
U00212,Park,M,60,Seoul,77
U00213,Lee,M,50,Daegu,90
U00214,Ryu,M,23,Daejeon,67
U00215,Choi,F,53,Gwangju,73
U00216,Kim,F,38,Daejeon,44
U00217,Ryu,F,56,Gwangju,90
U00218,Kang,M,28,Daegu,36
U00219,Kim,F,43,Gwangju,59
U00220,Kim,M,32,Busan,65
U00221,Kim,M,63,Daegu,40
U00222,Park,F,49,Daejeon,99
U00223,Kang,F,38,Incheon,58
U00224,Kim,M,60,Gwangju,35
U00225,Choi,M,29,Busan,80
U00226,Hong,F,61,Daegu,67
U00227,Kim,M,63,Seoul,51
U00228,Park,M,33,Daegu,83
U00229,Ryu,F,59,Daejeon,69
U00230,Kang,F,39,Daejeon,36
U00231,Park,F,23,Seoul,69
U00232,Kim,M,57,Busan,53
U00233,Kang,F,63,Daejeon,70
U00234,Hong,F,58,Busan,80
U00235,Kim,F,24,Busan,68
U00236,Park,M,61,Daegu,72
U00237,Lee,M,51,Busan,98
U00238,Choi,M,25,Gwangju,88
U00239,Ryu,M,33,Daejeon,54
U00240,Park,M,25,Daejeon,54
U00241,Kang,F,33,Incheon,53
U00242,Kim,F,31,Busan,91
U00243,Choi,M,46,Incheon,72
U00244,Kim,F,45,Daegu,88
U00245,Kang,F,31,Incheon,83
U00246,Kim,M,27,Busan,55
U00247,Lee,F,29,Daejeon,83
U00248,Choi,F,35,Daegu,90
U00249,Choi,M,45,Busan,73
U00250,Kang,M,27,Daegu,38
U00251,Ryu,F,60,Seoul,71
U00252,Lee,M,64,Busan,58
U00253,Park,M,48,Seoul,87
U00254,Kim,M,39,Incheon,92
U00255,Hong,F,36,Busan,78
U00256,Kim,F,38,Seoul,40
U00257,Kim,M,36,Gwangju,83
U00258,Park,M,58,Daejeon,59
U00259,Kim,M,20,Incheon,95
U00260,Lee,F,48,Busan,94
U00261,Lee,F,33,Busan,87
U00262,Choi,M,36,Daejeon,86
U00263,Kang,F,32,Daejeon,66
U00264,Ryu,M,48,Seoul,83
U00265,Hong,F,53,Seoul,98
U00266,Kim,F,46,Seoul,53
U00267,Kim,M,52,Daegu,92
U00268,Park,M,48,Incheon,80
U00269,Kang,F,56,Busan,44
U00270,Lee,F,58,Incheon,76
U00271,Hong,M,38,Daejeon,75
U00272,Choi,F,43,Gwangju,59
U00273,Lee,M,33,Incheon,49
U00274,Kang,M,56,Incheon,86
U00275,Ryu,F,24,Seoul,78
U00276,Choi,M,43,Daejeon,85
U00277,Ryu,F,53,Incheon,85
U00278,Park,M,50,Busan,54
U00279,Park,F,49,Seoul,38
U00280,Kim,M,28,Incheon,51
U00281,Ryu,F,46,Daejeon,66
U00282,Kang,F,47,Gwangju,57
U00283,Hong,M,61,Busan,43
U00284,Choi,M,45,Gwangju,59
U00285,Lee,M,37,Daejeon,68
U00286,Kang,F,55,Daejeon,86
U00287,Kang,M,27,Daejeon,34
U00288,Park,F,37,Gwangju,41
U00289,Ryu,F,39,Daegu,64
U00290,Kim,M,51,Busan,70
U00291,Kim,F,48,Daejeon,92
U00292,Choi,M,37,Daegu,71
U00293,Park,M,26,Seoul,94
U00294,Kang,M,20,Daegu,94
U00295,Hong,M,47,Seoul,72
U00296,Park,M,52,Gwangju,89
U00297,Choi,F,23,Daegu,49
U00298,Choi,M,39,Gwangju,92
U00299,Park,F,55,Daejeon,53
U00300,Choi,F,50,Daegu,64
U00301,Park,M,57,Daegu,70
U00302,Lee,M,47,Daejeon,45
U00303,Park,M,22,Seoul,35
U00304,Ryu,F,25,Daejeon,49
U00305,Park,M,64,Busan,85
U00306,Choi,F,42,Daegu,37
U00307,Ryu,M,26,Busan,35
U00308,Choi,M,55,Daejeon,37
U00309,Kim,M,20,Gwangju,91
U00310,Kim,F,25,Daejeon,43
U00311,Ryu,F,43,Incheon,32
U00312,Lee,F,56,Busan,31
U00313,Kim,M,64,Incheon,51
U00314,Park,M,55,Busan,99
U00315,Choi,F,43,Gwangju,100
U00316,Kim,M,57,Incheon,35
U00317,Kim,M,64,Incheon,79
U00318,Lee,M,48,Busan,73
U00319,Ryu,M,56,Daejeon,37
U00320,Ryu,M,64,Seoul,53
U00321,Kang,F,51,Daejeon,56
U00322,Lee,F,44,Seoul,82
U00323,Park,F,29,Busan,80
U00324,Ryu,M,54,Daegu,57
U00325,Choi,M,44,Daejeon,88
U00326,Lee,M,46,Incheon,98
U00327,Kim,F,64,Daejeon,54
U00328,Choi,F,51,Busan,73
U00329,Choi,F,31,Daegu,76
U00330,Kim,F,23,Daegu,42
U00331,Lee,M,61,Daejeon,82
U00332,Kim,M,45,Daejeon,82
U00333,Kang,M,22,Gwangju,66
U00334,Choi,M,36,Daejeon,92
U00335,Hong,F,28,Busan,95
U00336,Hong,F,48,Seoul,69
U00337,Park,F,20,Gwangju,90
U00338,Ryu,M,37,Seoul,35
